Date,Open,High,Low,Close,Volume
2015-01-02,149.917,151.0047,147.5546,150.0,71161358.0
2015-01-05,152.4951,153.6153,150.8526,151.5379,104931384.0
2015-01-06,150.9837,151.6407,148.0168,151.2655,33769827.0
2015-01-07,152.6321,153.7595,151.1684,153.253,39483181.0
2015-01-08,157.7139,157.9946,154.7997,157.8564,237840080.0
2015-01-09,156.5632,157.8369,155.6847,157.2874,69143203.0
2015-01-12,157.8815,157.904,154.9592,156.7204,120698909.0
2015-01-13,161.7345,165.6285,158.9603,161.5995,352271023.0
2015-01-14,164.2062,164.4148,163.5505,164.0937,38197330.0
2015-01-15,162.4767,164.6597,161.8646,162.7766,33132231.0
2015-01-16,164.3346,165.6883,163.3404,164.5881,133958010.0
2015-01-19,162.7376,163.8671,162.1148,163.2857,130294750.0
2015-01-20,161.8663,163.8314,159.8717,161.9866,120095774.0
2015-01-21,162.8145,164.9308,162.0688,162.8614,57943404.0
2015-01-22,158.1729,158.2291,154.752,157.2058,92358086.0
2015-01-23,152.3407,152.8515,152.1309,152.2877,118537315.0
2015-01-26,151.016,153.154,150.0508,150.8006,53398349.0
2015-01-27,148.6042,149.1082,147.2498,148.062,103405727.0
2015-01-28,149.6427,150.612,148.6128,149.0651,65757422.0
2015-01-29,146.822,147.3178,146.6385,146.6483,71145926.0
2015-01-30,142.6617,143.5301,141.1918,142.9022,261521930.0
2015-02-02,148.1445,148.4036,146.6531,147.0352,293952801.0
2015-02-03,146.5128,146.6535,141.3945,146.5283,72664005.0
2015-02-04,146.8144,148.519,145.1676,146.8348,116511869.0
2015-02-05,142.53,145.285,140.2969,143.0504,382125617.0
2015-02-06,141.14,142.8982,140.9294,141.7014,62195882.0
2015-02-09,142.1533,144.1441,141.2268,142.1144,50517232.0
2015-02-10,138.7336,139.7606,137.2409,139.1697,43232584.0
2015-02-11,141.0088,143.1767,140.0264,140.2754,91100931.0
2015-02-12,138.1182,140.8414,137.3132,138.805,92806712.0
2015-02-13,138.3457,139.2548,137.8438,138.1542,92625350.0
2015-02-16,137.7236,138.4315,134.9235,136.7033,111085862.0
2015-02-17,142.1346,144.0441,140.336,141.6886,572072241.0
2015-02-18,142.2339,144.9537,141.4158,141.7677,54880525.0
2015-02-19,138.6213,139.1974,138.0803,139.0751,91869770.0
2015-02-20,141.3762,143.6845,140.9486,141.3689,311721829.0
2015-02-23,137.783,139.8396,137.0699,138.257,71542754.0
2015-02-24,139.1797,139.2903,137.6313,138.9168,37509829.0
2015-02-25,134.4341,134.7268,132.2718,133.9751,379111381.0
2015-02-26,130.2982,130.9623,130.2218,130.7605,45174893.0
2015-02-27,131.6493,133.0671,129.9752,131.3547,40172872.0
2015-03-02,133.5837,134.3736,132.5173,133.3091,549161395.0
2015-03-03,134.4583,135.8044,132.9312,133.8503,68332945.0
2015-03-04,133.2536,134.0166,132.5368,133.6668,83342923.0
2015-03-05,132.023,134.4086,128.7517,133.0165,63184606.0
2015-03-06,129.4899,131.1558,128.3509,129.4566,409157928.0
2015-03-09,127.922,127.9859,126.8976,127.8113,233690754.0
2015-03-10,125.7794,127.0599,124.8805,126.8066,122516204.0
2015-03-11,129.4113,130.199,128.1626,129.4707,43898424.0
2015-03-12,130.1725,131.2641,127.8923,130.4202,97955911.0
2015-03-13,126.7126,130.036,124.6322,126.2491,151892708.0
2015-03-16,127.7723,128.6996,126.5465,127.1281,117841872.0
2015-03-17,126.2789,131.0182,124.7906,126.309,70509154.0
2015-03-18,125.6199,127.8276,124.1257,124.805,85404340.0
2015-03-19,125.633,128.2535,125.6164,126.3588,48973155.0
2015-03-20,129.0524,129.8456,128.8575,128.9498,65981198.0
2015-03-23,131.694,133.6327,129.833,131.3461,232419359.0
2015-03-24,129.3061,130.4709,128.7873,129.3846,58596611.0
2015-03-25,128.4816,129.4609,127.4358,128.7355,95634571.0
2015-03-26,130.1159,130.549,128.5037,129.6493,109600403.0
2015-03-27,131.873,133.2792,130.9664,132.1692,79168289.0
2015-03-30,131.7543,132.4767,130.4162,131.0843,72307677.0
2015-03-31,131.3061,132.3407,129.7118,130.7315,153663636.0
2015-04-01,128.4803,,127.7546,128.1308,74960035.0
2015-04-02,125.6671,126.6172,122.9391,125.3687,48376683.0
2015-04-03,128.0024,129.2409,126.4358,127.4122,109530099.0
2015-04-06,130.3569,130.916,129.5567,130.8264,474659380.0
2015-04-07,130.3231,131.1497,129.8157,130.7548,60350205.0
2015-04-08,133.4967,133.8633,132.6081,133.3667,63212842.0
2015-04-09,133.6122,136.2115,132.6827,134.3906,71901926.0
2015-04-10,133.6543,134.7755,132.661,132.8701,79242956.0
2015-04-13,133.8797,134.342,133.3738,133.8896,52900413.0
2015-04-14,138.7963,138.9524,137.3741,137.9505,443559674.0
2015-04-15,138.093,138.1105,137.8335,137.9694,54354192.0
2015-04-16,142.5089,144.38,140.9886,142.2255,931554368.0
2015-04-17,135.9385,136.2134,132.1814,135.4658,283160417.0
2015-04-20,137.3682,140.9935,136.5525,137.6983,54732643.0
2015-04-21,138.226,140.6619,136.8032,138.0373,59953832.0
2015-04-22,137.6414,139.7136,134.4966,137.3711,144278678.0
2015-04-23,136.7778,139.6359,136.6159,137.7216,148551959.0
2015-04-24,132.4342,132.7617,132.3512,132.7524,280204943.0
2015-04-27,131.745,132.5113,131.575,132.3101,103466309.0
2015-04-28,132.7147,135.548,130.8544,133.3144,94460677.0
2015-04-29,138.0532,138.2281,135.4187,137.2019,317152980.0
2015-04-30,136.9299,137.423,134.0512,135.9752,110466754.0
2015-05-01,133.5051,135.1897,131.7042,134.0224,33203553.0
2015-05-04,131.7818,133.3021,130.6192,132.8656,169559714.0
2015-05-05,136.1755,137.8933,133.1739,135.2941,77808663.0
2015-05-06,136.2303,139.0753,136.1084,136.2481,41670434.0
2015-05-07,135.1986,136.57,134.2508,135.0006,47106918.0
2015-05-08,136.9486,138.1817,135.7969,136.4274,61368570.0
2015-05-11,136.7306,138.3668,135.8869,136.7892,43951541.0
2015-05-12,139.4493,140.8449,139.0028,139.4296,75630724.0
2015-05-13,138.0422,139.0432,137.0029,137.7039,59986378.0
2015-05-14,135.7041,138.9871,133.8801,136.9652,182091715.0
2015-05-15,136.3785,136.7881,132.0127,136.0647,140024035.0
2015-05-18,131.9544,134.4493,131.7026,132.4607,198351978.0
2015-05-19,132.9677,135.1638,130.0797,133.3125,124318461.0
2015-05-20,134.8745,134.9681,133.039,134.0808,171329512.0
2015-05-21,133.6461,134.47,132.4175,134.2029,40069953.0
2015-05-22,134.7393,136.8901,132.8522,133.718,57783620.0
2015-05-25,129.9859,131.4559,129.9207,130.2947,187346569.0
2015-05-26,129.3422,129.669,128.1998,129.3682,59957799.0
2015-05-27,128.8954,130.2836,128.4966,128.6376,116480071.0
2015-05-28,127.0807,128.2156,125.8278,126.8051,54619832.0
2015-05-29,125.6984,126.6065,125.2425,126.5221,50900274.0
2015-06-01,126.7476,127.686,125.0905,127.5956,57749147.0
2015-06-02,131.878,132.798,130.6625,132.3335,268028003.0
2015-06-03,132.2784,133.6713,130.1222,132.8789,23247657.0
2015-06-04,133.9443,134.2469,133.0827,133.6358,59147483.0
2015-06-05,133.4734,134.9967,133.1596,133.5566,94710793.0
2015-06-08,128.6538,129.469,128.1396,128.9052,277806500.0
2015-06-09,130.0159,131.1148,128.5342,128.9455,145858007.0
2015-06-10,128.1441,130.5131,125.7025,129.1974,67105760.0
2015-06-11,136.3724,136.7732,135.1954,135.464,651630292.0
2015-06-12,135.2096,136.7684,132.0923,135.0823,141727139.0
2015-06-15,135.739,136.8178,132.6782,135.9648,87615661.0
2015-06-16,135.7364,137.1038,134.6445,135.9862,52142727.0
2015-06-17,132.8697,133.7102,132.4613,133.124,134396798.0
2015-06-18,135.9942,137.5239,135.3665,136.1411,96609480.0
2015-06-19,137.6921,,135.6231,138.2019,98370807.0
2015-06-22,139.963,142.8558,136.45,140.3976,169025364.0
2015-06-23,138.087,138.534,136.4133,138.1177,271755461.0
2015-06-24,142.0057,142.9688,141.3053,141.9436,332496024.0
2015-06-25,138.6059,141.505,136.2726,138.345,626030274.0
2015-06-26,139.4476,140.1846,139.3666,140.0018,138258122.0
2015-06-29,146.9311,147.2442,145.1917,146.0376,238689372.0
2015-06-30,143.9183,144.0599,140.9538,143.4459,41866552.0
2015-07-01,142.9827,143.348,139.9194,142.0345,70750181.0
2015-07-02,140.8817,142.4933,140.5614,142.418,113310271.0
2015-07-03,141.8204,142.3516,138.9982,141.1842,289659627.0
2015-07-06,137.2261,137.2564,136.9694,137.2184,278896053.0
2015-07-07,137.2073,137.5556,136.4191,137.5081,56014116.0
2015-07-08,134.7472,136.7689,131.4263,134.8848,138072658.0
2015-07-09,135.0785,136.7853,134.453,136.2082,39577896.0
2015-07-10,133.3757,136.5767,131.9843,133.9709,151079196.0
2015-07-13,137.4418,138.8582,136.7021,138.0653,171298221.0
2015-07-14,136.0166,136.705,134.9591,136.1474,99898861.0
2015-07-15,136.0595,137.5199,134.5994,135.4314,107616853.0
2015-07-16,137.8211,139.5149,136.3906,137.6416,72935505.0
2015-07-17,135.151,136.1379,132.6127,134.5863,36734341.0
2015-07-20,134.5832,137.8009,131.5877,135.276,186840407.0
2015-07-21,138.7185,139.4958,138.1884,138.7722,280084402.0
2015-07-22,134.791,135.0336,134.1426,134.7294,297844452.0
2015-07-23,134.3848,137.1038,133.396,135.3104,87135062.0
2015-07-24,136.0973,136.5465,135.3896,136.0872,54210481.0
2015-07-27,137.6843,138.763,135.4418,138.2253,133834565.0
2015-07-28,135.2798,136.6445,132.8286,135.1414,132848803.0
2015-07-29,131.2429,133.0696,131.1948,131.9181,103633034.0
2015-07-30,133.4338,134.5376,132.4406,133.3342,39594732.0
2015-07-31,133.4682,135.6988,131.8432,134.1937,49765759.0
2015-08-03,135.2065,135.6082,133.0745,134.9402,113542994.0
2015-08-04,136.0035,139.6765,135.7993,135.9371,142118795.0
2015-08-05,134.2918,136.9026,133.374,134.3106,197996808.0
2015-08-06,134.7074,135.9428,133.2747,135.0112,109172763.0
2015-08-07,135.4763,136.3167,135.3424,135.8715,109110669.0
2015-08-10,133.442,134.6422,132.6655,134.1586,105839294.0
2015-08-11,139.5505,140.3116,138.9702,139.0865,154759686.0
2015-08-12,140.5685,140.956,138.6299,140.4518,46595238.0
2015-08-13,137.4151,138.5461,137.369,137.4368,81199143.0
2015-08-14,138.9785,139.4204,138.236,139.266,64378422.0
2015-08-17,136.9571,137.6013,135.1455,136.8355,51147979.0
2015-08-18,138.7546,140.9107,138.4949,138.9991,134014620.0
2015-08-19,142.3436,143.9895,142.0395,142.1917,136287526.0
2015-08-20,140.9072,144.2562,139.5888,140.1173,64025111.0
2015-08-21,143.7101,144.6751,142.0323,142.8078,69486627.0
2015-08-24,143.514,145.8701,142.1172,144.0433,78624565.0
2015-08-25,147.3257,148.7337,145.0294,146.4176,71882454.0
2015-08-26,152.2948,153.8523,151.3543,151.8848,390128939.0
2015-08-27,151.4802,155.3176,150.3084,151.3052,61345888.0
2015-08-28,148.9549,150.3031,147.0587,149.2866,162760331.0
2015-08-31,146.4283,147.6476,145.5731,146.9175,109781556.0
2015-09-01,143.9097,146.9268,141.427,144.7875,58887702.0
2015-09-02,144.8598,145.346,143.737,144.6944,218574934.0
2015-09-03,145.2834,147.6541,144.2737,145.7488,78685834.0
2015-09-04,146.3285,147.0864,146.2952,146.6321,144926000.0
2015-09-07,148.747,150.2179,146.2842,149.0635,112502155.0
2015-09-08,149.57,150.3199,147.9888,149.2215,139264976.0
2015-09-09,153.8136,155.65,151.4891,153.5021,605932478.0
2015-09-10,152.7584,153.1017,150.7755,152.8606,53173428.0
2015-09-11,160.8017,161.1013,158.7436,161.0551,509517753.0
2015-09-14,162.2161,164.214,161.2554,163.1033,235958040.0
2015-09-15,160.7539,161.1477,158.1223,160.6131,76277565.0
2015-09-16,157.9064,158.1931,156.8375,157.5234,88152796.0
2015-09-17,158.4424,159.3473,157.117,159.0956,145408925.0
2015-09-18,158.1996,159.3383,154.9448,158.5541,77412750.0
2015-09-21,162.0491,164.4943,157.1258,160.8388,99686858.0
2015-09-22,161.7523,163.6072,161.3423,162.4158,60339522.0
2015-09-23,162.8909,164.2056,162.1238,162.3244,201410503.0
2015-09-24,158.9018,161.1926,158.8152,159.8774,90350482.0
2015-09-25,155.7107,157.5889,153.3251,155.4918,283665161.0
2015-09-28,154.5222,155.3692,153.2542,154.3107,100071098.0
2015-09-29,157.7905,158.1217,155.7614,156.9561,76489906.0
2015-09-30,157.2939,161.3815,157.2123,157.7206,39120204.0
2015-10-01,153.7563,155.3876,152.8159,154.1763,64003317.0
2015-10-02,154.5275,160.0991,151.0697,154.8076,117007023.0
2015-10-05,156.3315,158.0099,155.9831,156.0659,79856028.0
2015-10-06,154.5293,156.1637,153.194,153.6056,81082694.0
2015-10-07,152.9187,154.5423,151.9132,154.1779,48483165.0
2015-10-08,155.584,156.55,153.6121,154.4732,106518430.0
2015-10-09,151.8549,151.9702,150.0446,151.2954,113424599.0
2015-10-12,152.9917,153.966,150.8358,152.4458,61216026.0
2015-10-13,154.3172,158.3354,152.8609,154.1953,190567895.0
2015-10-14,157.1016,158.2387,156.6205,157.512,98900036.0
2015-10-15,160.442,160.8518,156.8552,160.811,189767230.0
2015-10-16,156.8296,157.0212,155.8266,156.8058,47972616.0
2015-10-19,153.1475,154.7733,152.1801,154.1765,62830046.0
2015-10-20,155.0472,158.8343,154.5839,155.8112,135040642.0
2015-10-21,157.1705,159.7604,157.0883,157.4595,73384517.0
2015-10-22,159.5442,162.4003,156.4538,159.129,159504528.0
2015-10-23,171.5578,172.4623,170.8094,171.2866,462484401.0
2015-10-26,173.2678,175.483,172.2492,173.2855,66467922.0
2015-10-27,175.1696,179.4446,171.753,177.1885,66740112.0
2015-10-28,179.6238,183.0789,178.6085,180.5589,95133253.0
2015-10-29,183.2931,183.4214,180.8019,182.9441,131651732.0
2015-10-30,180.8721,182.8105,178.0496,182.0053,122380801.0
2015-11-02,184.5268,185.3758,180.7118,184.7849,96833630.0
2015-11-03,183.005,183.4473,181.7742,182.2539,72519225.0
2015-11-04,181.5607,182.8025,181.474,181.5878,115393343.0
2015-11-05,180.1328,183.4497,178.5552,180.0762,95132520.0
2015-11-06,178.4107,184.9102,178.116,180.5018,139228719.0
2015-11-09,189.1888,191.5362,187.3362,188.7262,1071795531.0
2015-11-10,182.4894,183.9988,181.4709,182.3308,363190417.0
2015-11-11,186.6384,186.7448,184.49,184.8612,135280964.0
2015-11-12,180.3101,181.6839,176.9997,179.458,694896498.0
2015-11-13,178.2249,179.8488,177.8713,178.0094,94293083.0
2015-11-16,182.1654,185.0613,181.0446,181.8585,70806323.0
2015-11-17,183.0947,185.6904,180.9646,182.2277,113591991.0
2015-11-18,179.6824,179.9453,178.4791,178.6991,73368209.0
2015-11-19,175.6694,178.7406,173.1255,176.4432,52381106.0
2015-11-20,177.3286,180.2039,174.5652,178.8693,181823096.0
2015-11-23,176.075,181.2245,174.0423,176.561,68007020.0
2015-11-24,179.0549,182.9377,172.8314,177.429,133394626.0
2015-11-25,178.7105,180.2727,176.0787,177.7264,122576388.0
2015-11-26,175.8917,176.094,175.5726,175.6941,54874257.0
2015-11-27,181.8678,183.2835,180.1014,183.1078,224639070.0
2015-11-30,186.4981,188.1136,182.7024,185.4654,48774740.0
2015-12-01,177.9446,179.1098,176.8106,178.6467,218936806.0
2015-12-02,178.4658,180.425,177.9331,179.4232,36072462.0
2015-12-03,177.3235,178.3357,176.9189,177.3374,158237465.0
2015-12-04,180.0542,180.57,179.1392,180.364,81978471.0
2015-12-07,177.3281,178.9013,175.0559,177.8274,191869414.0
2015-12-08,177.0944,179.1633,175.1303,177.5866,69030731.0
2015-12-09,178.952,180.0546,177.0981,179.4354,233831600.0
2015-12-10,182.77,184.1822,181.6218,182.5438,72921447.0
2015-12-11,178.6262,178.8717,176.9853,178.5949,241601128.0
2015-12-14,176.6407,177.7786,171.8273,177.6139,53527168.0
2015-12-15,177.3524,178.6617,174.8244,176.1701,180589219.0
2015-12-16,174.0082,175.1654,172.2368,174.15,57823071.0
2015-12-17,180.2294,181.9367,179.6865,180.2048,157334159.0
2015-12-18,182.343,185.9278,181.0646,181.7371,147800165.0
2015-12-21,178.7904,179.7032,176.0663,177.6022,77800051.0
2015-12-22,180.9118,181.9356,179.1072,180.8568,87069534.0
2015-12-23,188.3269,190.5935,186.5507,188.4107,718576178.0
2015-12-24,192.7479,195.257,191.5526,192.2794,146727259.0
2015-12-25,188.7237,189.4138,186.652,186.9889,253689280.0
2015-12-28,185.3233,186.6655,183.6626,185.4364,54002584.0
2015-12-29,188.6882,191.3004,186.0467,190.0843,95566761.0
2015-12-30,189.5836,189.595,186.13,187.7117,83341057.0
2015-12-31,190.1433,190.6529,188.9774,189.4468,93960599.0
2016-01-01,193.1605,193.5242,190.8261,192.397,104614436.0
2016-01-04,189.2313,189.251,186.8624,189.2099,101430694.0
2016-01-05,189.7697,192.1542,188.1943,189.151,80415178.0
2016-01-06,177.2986,178.7389,175.9375,178.0572,451152062.0
2016-01-07,175.1558,175.2686,174.0072,174.7855,82620996.0
2016-01-08,173.4406,174.4543,170.4219,174.0948,107984856.0
2016-01-11,171.0055,171.4825,166.8442,170.1759,86173298.0
2016-01-12,175.2194,176.1769,174.5437,175.6504,
2016-01-13,171.1079,171.8131,169.1839,171.1058,459126363.0
2016-01-14,168.092,171.8911,165.0721,169.8269,71496173.0
2016-01-15,169.1574,171.5073,167.5846,170.3855,59965622.0
2016-01-18,174.8498,176.3309,170.7044,175.2327,331070794.0
2016-01-19,171.0759,171.2604,169.1788,170.6804,520709007.0
2016-01-20,174.5967,176.1522,173.867,174.6158,51399337.0
2016-01-21,175.9885,178.2586,172.1217,174.7917,166936215.0
2016-01-22,171.2595,173.4271,170.2647,171.7191,199343903.0
2016-01-25,173.0279,177.4168,171.8906,173.3662,115940174.0
2016-01-26,175.0681,177.7354,174.1066,174.1612,54889259.0
2016-01-27,171.8698,175.8908,171.6288,172.337,66644055.0
2016-01-28,171.7743,174.2988,169.8051,172.7049,57603279.0
2016-01-29,171.9598,174.366,170.1324,171.5915,131637308.0
2016-02-01,171.1211,174.9533,170.5079,172.0999,70570352.0
2016-02-02,174.7968,175.7975,169.6563,174.4088,57989822.0
2016-02-03,179.9027,180.4585,176.6988,179.8617,412626454.0
2016-02-04,176.6005,177.2713,174.3035,175.8461,47447414.0
2016-02-05,184.7354,187.6278,182.6482,183.2283,338441474.0
2016-02-08,177.3124,178.8073,175.7228,176.7357,318980934.0
2016-02-09,176.1975,179.1407,175.3521,176.3729,115522524.0
2016-02-10,179.3278,179.6764,175.9924,178.4899,97696976.0
2016-02-11,179.2066,180.7192,176.8141,179.5863,80855403.0
2016-02-12,178.8393,179.2598,173.0852,177.6298,106142386.0
2016-02-15,177.6101,178.5384,173.9353,177.0765,112013265.0
2016-02-16,174.7173,175.9212,173.3175,175.5772,59845420.0
2016-02-17,174.9345,175.6607,171.5732,173.7737,99915813.0
2016-02-18,176.299,177.0198,176.2673,176.7301,54032054.0
2016-02-19,177.9852,178.8744,176.2862,178.0713,64283146.0
2016-02-22,175.6354,179.2241,174.8657,175.8977,89511669.0
2016-02-23,178.0434,182.6908,174.8969,179.0593,150403049.0
